schoolid,schoolname,CalendarYear,Firsttimebaryear,State,Takers,Passers,SchoolPassPct,PassPct,PassPctDiff
01262700,Thomas M. Cooley Law School,2023,2022,TX,10,2,0.2,0.7531,-0.5531
01310300,California Western School of Law,2023,2022,CA,209,111,0.5311,0.7215,-0.1904
02053000,Liberty University,2023,2022,NC,15,8,0.5333,0.7224,-0.1891
02053000,Liberty University,2023,2022,VA,22,19,0.8636,0.7806,0.083
02179937,Western State College of Law,2023,2022,CA,42,18,0.4286,0.7215,-0.2929
03091300,Regent University,2023,2022,VA,43,40,0.9302,0.7806,0.1496
03173300,"Atlanta's John Marshall Law School",2023,2022,GA,53,36,0.6792,0.7838,-0.1046
03191300,City University of New York,2023,2022,NY,154,117,0.7597,0.8269,-0.0672
03691400,Ave Maria School of Law,2023,2022,FL,58,42,0.7241,0.638,0.0861
03691400,Ave Maria School of Law,2023,2022,MD,156,99,0.6346,0.7595,-0.1249
04096300,Charleston School of Law,2023,2022,SC,108,81,0.75,0.7646,-0.0146
04096300,Charleston School of Law,2023,2022,NY,12,8,0.6667,0.8269,-0.1602
04096300,Charleston School of Law,2023,2022,NC,11,6,0.5455,0.7224,-0.1769
04242101,UNT Dallas College Of Law,2023,2022,TX,107,65,0.6075,0.7531,-0.1456
